year,treated,cell,n,mass,share,factor
2024,1,1_TR2,605,62.85393393294347,0.014344772250517501,0.9269864197657434
2024,1,1_TR3,1083,158.26014493891083,0.03611875332902097,0.9985492270500571
2024,1,1_TR4,1074,143.27216344507713,0.0326981371866266,0.9654245520544931
2024,1,1_TR5,794,115.59888893302568,0.026382433531149156,1.1015284563736734
2024,1,1_TR6,899,145.20608425543801,0.03313950420757965,0.9474814248313833
2024,1,1_TR7,607,60.163471351516975,0.013730744288158342,0.9204091896277538
2024,1,1_TR8,802,75.27427904581407,0.01717939230957437,0.8404796973055394
2024,1,1_TR9,388,37.76217842698404,0.008618233025738694,0.9355764858556165
2024,1,1_TRA,456,25.11465006718116,0.005731764311673953,0.8679273287580789
2024,1,1_TRB,438,34.00774681141556,0.007761381861690157,1.182159436366141
2024,1,1_TRC,511,71.6819822798367,0.016359544199204826,0.7833091008530575
2024,1,2_TR1,634,229.9819378070447,0.05248738325741645,0.8757073075383659
2024,1,2_TR2,476,45.97994743571338,0.01049372462127426,0.8837990929303399
2024,1,2_TR3,930,134.4167319895533,0.030677115757083612,1.0200354276647066
2024,1,2_TR4,759,98.1742994671158,0.022405725124736472,1.0114954610696372
2024,1,2_TR5,847,120.15898585125096,0.027423156802376947,0.983667774323421
2024,1,2_TR6,768,115.41273064007135,0.026339947752648418,1.0873959275224119
2024,1,2_TR7,496,40.92144995315447,0.009339254411111466,1.0924468343793896
2024,1,2_TR8,545,45.27510437480852,0.010332862563032614,1.0458065659990712
2024,1,2_TR9,294,24.65073633854505,0.00562588809415234,1.174941313703063
2024,1,2_TRA,287,13.136461282087893,0.002998054910458447,1.1076665027179566
2024,1,2_TRB,286,19.885541150415417,0.004538356488319878,1.0885968293133204
2024,1,2_TRC,400,44.82876126295754,0.010230996380847098,1.0908435499174047
2025,0,0_TR1,397,157.94202644196548,0.08411019555917597,1.0022814316294535
2025,0,0_TR2,363,41.9392053591275,0.02233423771885573,0.9219181643048311
2025,0,0_TR3,712,111.69030123290395,0.059479375378374555,0.9531350709648166
2025,0,0_TR4,499,86.09913198852936,0.045851094810990374,0.9548385900190438
2025,0,0_TR5,469,66.92030760425759,0.035637634176756174,1.1525797370047437
2025,0,0_TR6,588,106.32214842250639,0.05662062781861733,1.0442180507695418
2025,0,0_TR7,334,37.739446749101376,0.02009770494826711,1.1838334782299644
2025,0,0_TR8,474,47.0631587125376,0.02506293968818103,0.9460646049035554
2025,0,0_TR9,182,21.502567793251643,0.011450943253405607,1.2005674279943817
2025,0,0_TRA,315,16.727556578955515,0.00890806637586168,1.3518485341512356
2025,0,0_TRB,376,34.29105698162726,0.018261304946060705,1.1695085420661853
2025,0,0_TRC,628,105.06065254708992,0.05594883281149578,0.89908417720793
2025,0,1_TR1,287,113.2571477733569,0.060313781343003234,1.0075777696617387
2025,0,1_TR2,216,23.374472450976814,0.012447804382620312,1.0598161300966598
2025,0,1_TR3,449,72.07332393764526,0.0383818132992149,0.8975017114699329
2025,0,1_TR4,437,64.43964419568412,0.03431658563057792,0.9564001161471066
2025,0,1_TR5,328,53.56466365322076,0.028525240788836732,0.9877289656308639
2025,0,1_TR6,395,65.39493222903327,0.03482531320049967,1.0017746527324036
2025,0,1_TR7,253,26.743588169421677,0.014241987908839761,0.9663220455096537
2025,0,1_TR8,260,24.656113926761773,0.013130327695721108,1.029720534164418
2025,0,1_TR9,182,18.389104664748697,0.00979290455082577,0.6161799994190931
2025,0,1_TRA,181,8.771979845156029,0.004671416195158969,1.1374143351150532
2025,0,1_TRB,197,16.88283003092409,0.008990755453015087,0.9537793641374441
2025,0,1_TRC,221,31.24259069515308,0.016637879558359273,0.9609318735182586
2025,0,2_TR1,301,116.98908639081343,0.06230118199880302,1.0863591406748951
2025,0,2_TR2,210,22.347060105259928,0.011900667846101883,1.0921420985195542
2025,0,2_TR3,497,83.58112632025788,0.044510160077224324,0.809325269629255
2025,0,2_TR4,361,53.52435664151464,0.028503775756929892,0.9188771907551052
2025,0,2_TR5,474,72.25729177003643,0.03847978323608097,0.9652599601098627
2025,0,2_TR6,375,59.43003279320866,0.031648775141945786,1.2016878272421023
2025,0,2_TR7,246,23.158946121170764,0.012333028333733797,1.0574166080970058
2025,0,2_TR8,290,26.18638309735921,0.01394525480598218,1.0749555739502952
2025,0,2_TR9,143,13.455350283629315,0.007165490839698206,0.908390525055882
2025,0,2_TRA,156,9.135066821600178,0.004864773956115194,0.7508777775843803
2025,0,2_TRB,220,17.428104366054463,0.009281134980202345,0.8553310564321639
2025,0,2_TRC,231,28.21806890466575,0.015027205534467644,1.1842099012291263
2025,1,0_TR1,1081,427.8956332506474,0.09848752665218291,1.075457698064707
2025,1,0_TR2,975,114.61712084880507,0.02638109825668823,0.9120904656117751
2025,1,0_TR3,2050,332.041229037931,0.0764249897716088,0.9950833849105782
2025,1,0_TR4,1341,212.5714387428996,0.04892696632503556,1.105961154723457
2025,1,0_TR5,1212,180.25642514567676,0.04148911112014765,1.0483900432769715
2025,1,0_TR6,1701,316.9966571734824,0.07296222325255292,0.9304073459443926
2025,1,0_TR7,964,110.2325255457185,0.025371908367342422,0.8679735554045458
2025,1,0_TR8,1270,128.91274502839104,0.02967148160718117,0.9830524394314462
2025,1,0_TR9,608,67.14791329562487,0.015455245126251394,1.0487302493110158
2025,1,0_TRA,915,45.006554903872214,0.010359031341227978,1.0939831783120466
2025,1,0_TRB,992,97.83823705182401,0.022519150069474397,1.0924627756213572
2025,1,0_TRC,1394,239.96314491382978,0.055231637796123,1.0067684040203622
2025,1,1_TR1,527,197.5840832993254,0.04547736914760861,1.1916217035102254
2025,1,1_TR2,584,61.13011536682554,0.014070145611686114,0.9450797054877594
2025,1,1_TR3,1011,151.80776023546798,0.034941162447995666,1.0322024423882452
2025,1,1_TR4,1032,147.28222501265262,0.033899532816287464,0.9312100145300025
2025,1,1_TR5,846,129.93333097577917,0.02990638698569751,0.9717322689914353
2025,1,1_TR6,950,156.34246402909218,0.03598490238369328,0.8725621742698354
2025,1,1_TR7,532,53.86978960634681,0.012399056983352705,1.0192632585056836
2025,1,1_TR8,801,79.19036442117086,0.01822702201300004,0.7921716689619355
2025,1,1_TR9,333,33.03809564061099,0.007604284951971101,1.0603253585881753
2025,1,1_TRA,469,25.205564081651893,0.005801493334756389,0.8574955793362051
